episode,timestep,reward
3,800,339.3333
5,1600,378.0
7,2400,384.0
9,3200,387.0
12,4000,382.0
14,4800,307.0
16,5600,303.5
19,6400,438.3333
21,7200,310.5
23,8000,378.0
26,8800,432.0
28,9600,355.5
30,10400,380.0
33,11200,387.3333
35,12000,458.0
37,12800,458.0
39,13600,377.5
41,14400,458.0
43,15200,537.0
45,16000,386.0
47,16800,343.5
50,17600,392.3333
52,18400,538.0
54,19200,402.0
56,20000,378.0
58,20800,425.5
60,21600,422.5
62,22400,458.0
64,23200,458.0
66,24000,457.5
68,24800,319.5
71,25600,329.6667
73,26400,378.0
75,27200,312.0
77,28000,460.5
79,28800,312.5
81,29600,390.0
83,30400,378.0
85,31200,537.5
87,32000,469.5
89,32800,457.5
91,33600,405.0
94,34400,357.6667
96,35200,450.5
98,36000,442.5
100,36800,377.5
102,37600,458.0
104,38400,534.0
106,39200,488.0
108,40000,458.0
110,40800,324.5
112,41600,458.0
114,42400,458.0
117,43200,404.0
119,44000,458.0
121,44800,538.0
123,45600,366.0
125,46400,378.5
127,47200,380.5
129,48000,457.5
131,48800,458.0
134,49600,329.0
136,50400,538.0
138,51200,413.0
140,52000,386.0
142,52800,472.0
144,53600,436.0
147,54400,331.3333
149,55200,423.5
151,56000,486.0
153,56800,378.0
155,57600,308.0
158,58400,334.3333
160,59200,460.0
163,60000,290.0
165,60800,392.0
168,61600,340.6667
170,62400,456.5
173,63200,363.3333
176,64000,301.3333
178,64800,538.0
180,65600,384.5
182,66400,479.5
185,67200,334.6667
187,68000,471.5
189,68800,378.0
191,69600,388.0
193,70400,385.0
195,71200,458.0
197,72000,458.0
199,72800,458.0
201,73600,458.0
203,74400,387.5
205,75200,458.0
207,76000,379.0
210,76800,440.0
213,77600,386.3333
215,78400,384.5
218,79200,425.3333
221,80000,337.0
224,80800,290.0
